year,annual_mm,months_available,is_complete,in_grid,zscore,regime
2000,622.08,12,True,True,-0.00784693928807632,normal
2001,616.88,12,True,True,-0.07419504383766432,normal
2002,737.55,12,True,True,1.465463759239011,wet
2003,775.42,12,True,True,1.9486565898722563,wet
2004,625.8299999999999,12,True,True,0.04000025149287469,normal
2005,718.42,12,True,True,1.2213792900017788,wet
2006,745.5,12,True,True,1.5668998036946307,wet
2007,656.9200000000001,12,True,True,0.4366853611941598,normal
2008,591.76,12,True,True,-0.3947074258156713,normal
2009,663.26,12,True,True,0.5175790117411557,normal
2010,645.1,12,True,True,0.285871015852597,normal
2011,655.51,12,True,True,0.4186948174605206,normal
2012,531.11,12,True,True,-1.1685559913796089,drought
2013,374.42,12,True,False,,suspect
2014,409.45,12,True,False,,suspect
2015,409.63,12,True,False,,suspect
2016,418.38,12,True,False,,suspect
2017,0.0,0,False,False,,incomplete
2018,544.4200000000001,12,True,True,-0.9987303622344142,normal
2019,524.34,12,True,True,-1.2549361198028215,drought
2020,542.05,12,True,True,-1.0289697868079777,drought
2021,543.87,12,True,True,-1.0057479502156215,drought
2022,533.39,12,True,True,-1.1394648993847902,drought
2023,548.03,12,True,True,-0.9526694665759519,normal
2024,632.46,12,True,True,0.12459408479360005,normal
